,Player,norm-average Total Runs Scored per Innings,norm-average Dot Balls as Bowler per Innings,norm-average player of the match,norm-average experience,norm-weighted player value overall,norm-weighted player value as opponent,norm-weighted player value as teammate,experience
0,A Adekunle,0.022856645297517332,0.5524335651014383,0.0,1.5424164524421595,0.46358525458773836,0.6913757328403491,0.16795563242272638,13
1,A Adey,0.04244805555253219,0.022859319935231926,0.0,0.12853470437017994,0.0460220900659652,0.03781992485921938,0.03832230376853731,2
2,A Ahmadhel,0.026121880340019804,0.022859319935231926,0.0,0.5141388174807198,0.09377023907362894,0.09270902242955018,0.06708700995208386,5
3,A Aikenhead,0.23183168801767579,0.0,0.0,1.4138817480719796,0.299201374128261,0.20126002442454627,0.28048718761780345,12
4,A Aitken,0.10122228631757675,0.4686160586722545,0.0,1.6709511568123396,0.47949713107745756,0.6380857156881704,0.22782848747178006,14
5,A Aitken-Drummond,0.6367208332879827,0.17906467282598343,0.0,3.2133676092544983,0.8029368806001034,0.6103436919385558,0.7033692608982394,26
6,A Akhigbe,0.23509692306017826,0.24383274597580717,0.0,0.6426735218508998,0.29495822772695135,0.29973312530993745,0.20532550602119692,6
7,A Akurut,0.013060940170009902,0.1257262596437756,0.0,0.5141388174807198,0.13198542895213444,0.1805650379405412,0.059250445850077924,5
8,A Alexander,0.0,0.05333841318220783,0.0,0.0,0.02269712043794634,0.04555497100569906,0.0,1
9,A Alfonso,0.04244805555253219,0.0,0.0,0.5141388174807198,0.09099018687928352,0.07318546342710773,0.0768827150795913,5
10,A Amado,0.06203946580754704,0.05333841318220783,0.0,0.12853470437017994,0.06732861533680672,0.063851336862476,0.050077149921546216,2
11,A Andrews,0.013060940170009902,0.11810648633203162,0.0,0.5141388174807198,0.12874298317528496,0.17405718493972705,0.059250445850077924,5
12,A Andriani,0.12407893161509408,0.4076578721783027,1.2048192771084336,0.7712082262210798,0.8483484068412911,0.9724509561025,0.5130139647236944,7
13,A Aravinddaraj,0.0,0.22478331269644725,0.0,1.2853470437017995,0.27797026422994875,0.3749453220917867,0.12853470437017997,11
14,A Argyropoulou,0.404889145270307,0.0,0.0,1.4138817480719796,0.37284259657201296,0.20126002442454627,0.38432166196938217,12
15,A Ashish Reddy,1.3322158973410103,0.45718639870463856,0.0,5.398457583547558,1.5271812917392698,1.1589185460334803,1.339175296759362,43
16,A Ashok,0.32543509256941344,3.787662317046068,0.0,3.8560411311053984,2.297202646729242,3.7838362381913417,0.580865168652188,31
17,A Ashokan,1.9395496152464706,0.607676921611582,3.6144578313253013,2.956298200514139,3.0413161540252123,2.483325567775642,2.5436969385968866,24
